id,scene_id,category_code,subcategory,bbox_x,bbox_y,bbox_w,bbox_h,confidence,mask_key,thumb_key,depth_key,description,attrs,created_at,review_status,review_notes
47c56211-a872-4d24-a549-902bcf7c6763,c997d5be-cb6e-4997-87f0-3a2ab3d06cfc,seating,,512,750,136,222,0.819,,,,,"{""area"": 30192, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 21:48:24.331409+00,,
aa1e6a57-64f9-46f9-b633-a91bfba0e850,ea337d01-7e9c-4208-ac27-4b04f291c36d,seating,,453,679,178,275,0.271,,,,,"{""area"": 48950, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:39:17.198596+00,,
f6ba7da6-d38d-4ec8-add7-c09a3c4790ba,ea337d01-7e9c-4208-ac27-4b04f291c36d,seating,,514,914,262,162,0.373,,,,,"{""area"": 42444, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:39:17.198596+00,,
7a3f1093-5e11-4fa4-8bb0-f81075054667,ea337d01-7e9c-4208-ac27-4b04f291c36d,kitchen_appliances,,417,416,154,373,0.379,,,,,"{""area"": 57442, ""raw_label"": ""refrigerator"", ""detected_label"": ""refrigerator"", ""canonical_label"": ""refrigerator""}",2025-09-16 20:39:17.198596+00,,
d15577cd-16a5-46c9-aa49-cfaa6aa1d5b2,ea337d01-7e9c-4208-ac27-4b04f291c36d,seating,,800,703,170,225,0.652,,,,,"{""area"": 38250, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:39:17.198596+00,,
cc1e3459-1401-44f6-9dae-3575f16fe636,ea337d01-7e9c-4208-ac27-4b04f291c36d,seating,,1082,684,133,269,0.227,,,,,"{""area"": 35777, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:39:17.198596+00,,
fd505c04-7b7d-41d8-9379-b72f71ecccfd,d030d8c4-eaf3-43c8-bef2-71d09e158d01,seating,,984,796,141,161,0.614,,,,,"{""area"": 22701, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:38:31.159944+00,,
bfc00190-246e-4f97-af26-f8985abf8b84,d030d8c4-eaf3-43c8-bef2-71d09e158d01,bedroom,bed_frame,10,608,1020,384,0.859,,,,,"{""area"": 391680, ""raw_label"": ""bed"", ""detected_label"": ""bed"", ""canonical_label"": ""bed""}",2025-09-16 20:38:31.159944+00,,
4ba7d8a5-e381-42c9-b850-5d971997f894,d030d8c4-eaf3-43c8-bef2-71d09e158d01,seating,,1301,872,283,124,0.668,,,,,"{""area"": 35092, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:38:31.159944+00,,
4c17fc3f-7e3b-4df4-924e-8a7a5ac85cfb,d030d8c4-eaf3-43c8-bef2-71d09e158d01,seating,,787,570,134,184,0.763,,,,,"{""area"": 24656, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:38:31.159944+00,,
82df52dc-ba82-432e-a619-ae536ade8185,d030d8c4-eaf3-43c8-bef2-71d09e158d01,decor_accessories,,1153,745,60,48,0.519,,,,,"{""area"": 2880, ""raw_label"": ""vase"", ""detected_label"": ""vase"", ""canonical_label"": ""vase""}",2025-09-16 20:38:31.159944+00,,
11a92a38-c665-477e-ab7b-9379d5ee7b2e,d030d8c4-eaf3-43c8-bef2-71d09e158d01,seating,,653,584,191,195,0.589,,,,,"{""area"": 37245, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:38:31.159944+00,,
ec3d9f75-38a2-4b90-8b13-921ae2ce18ea,d030d8c4-eaf3-43c8-bef2-71d09e158d01,seating,,653,584,191,195,0.588,,,,,"{""area"": 37245, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:30:48.112676+00,,
3f986cc2-54e4-4108-ba58-d695a15bfd18,d030d8c4-eaf3-43c8-bef2-71d09e158d01,seating,,787,570,134,184,0.763,,,,,"{""area"": 24656, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:30:48.112676+00,,
dcaa3557-61e0-4788-80eb-6347ab1adc62,d030d8c4-eaf3-43c8-bef2-71d09e158d01,seating,,1301,872,283,124,0.669,,,,,"{""area"": 35092, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:30:48.112676+00,,
f9ea186d-3026-4bcb-af02-48dcc8708b27,d030d8c4-eaf3-43c8-bef2-71d09e158d01,decor_accessories,,1153,745,60,48,0.518,,,,,"{""area"": 2880, ""raw_label"": ""vase"", ""detected_label"": ""vase"", ""canonical_label"": ""vase""}",2025-09-16 20:30:48.112676+00,,
6fbdda38-f6e1-42f9-9701-d0c5ac071f34,d030d8c4-eaf3-43c8-bef2-71d09e158d01,bedroom,bed_frame,10,608,1020,384,0.859,,,,,"{""area"": 391680, ""raw_label"": ""bed"", ""detected_label"": ""bed"", ""canonical_label"": ""bed""}",2025-09-16 20:30:48.112676+00,,
9d16a225-1a61-4e59-8288-872082a5cdb5,d030d8c4-eaf3-43c8-bef2-71d09e158d01,seating,,984,796,141,161,0.614,,,,,"{""area"": 22701, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 20:30:48.112676+00,,
d65524ee-9a1c-46aa-a33c-6817b593b74e,a1e97655-4a5a-44d6-b789-f372f3f3bbda,seating,,79,804,603,246,0.642,,,,,"{""area"": 148338}",2025-09-16 19:27:27.565293+00,,
dd7646c6-1cef-44f2-b11a-fa6bf1406d41,4ba40e61-2031-4bb0-9f7f-cd4a2ae5bb9f,bedroom,bed_frame,451,802,1034,432,0.614,,,,,"{""area"": 446688}",2025-09-16 19:23:02.537485+00,,
fa2a470c-f569-40c3-8fc3-5c838c6679ac,4ba40e61-2031-4bb0-9f7f-cd4a2ae5bb9f,seating,,454,804,990,411,0.47,,,,,"{""area"": 406890}",2025-09-16 19:23:02.537485+00,,
deb82c56-73c0-42c9-83f3-ede76c21b94b,d1bce6a3-ab00-44a6-ada8-a3da51ca1c49,bedroom,bed_frame,432,777,843,458,0.77,,,,,"{""area"": 386094}",2025-09-16 19:19:28.916385+00,,
d66ae92a-0427-4380-b16b-dd72b0032cc2,d1bce6a3-ab00-44a6-ada8-a3da51ca1c49,bedroom,bed_frame,428,778,840,299,0.436,,,,,"{""area"": 251160}",2025-09-16 19:19:28.916385+00,,
f0b5f2e4-5243-4e0d-b963-c4ce674afa73,9f626cd1-93f0-4c60-8127-38a0a98b4931,seating,,874,691,134,200,0.773,,,,,"{""area"": 26800}",2025-09-16 18:14:28.910043+00,,
c313166e-0344-4afd-9a2f-0ab1b6c4c3c4,9f626cd1-93f0-4c60-8127-38a0a98b4931,seating,,627,664,159,248,0.911,,,,,"{""area"": 39432}",2025-09-16 18:14:28.910043+00,,
5cfaf893-8584-4bf2-86f1-7db5eb6a307e,9f626cd1-93f0-4c60-8127-38a0a98b4931,seating,,308,665,187,248,0.85,,,,,"{""area"": 46376}",2025-09-16 18:14:28.910043+00,,
f274b389-bc0f-4eb2-a148-bc55b5fb2be4,4f3b34fb-6687-4d02-827c-db4247ad8afa,seating,,1149,620,163,219,0.832,,,,,"{""area"": 35697, ""raw_label"": ""seating"", ""detected_label"": ""seating"", ""canonical_label"": ""seating""}",2025-09-16 17:20:30.146654+00,,
9a848c2a-01b9-49d8-8a63-807ba3712bc3,4f3b34fb-6687-4d02-827c-db4247ad8afa,seating,,528,616,521,258,0.383,,,,,"{""area"": 134418}",2025-09-16 17:20:30.146654+00,,
0f6e9d27-f508-4c67-8bb2-61927a278083,9f626cd1-93f0-4c60-8127-38a0a98b4931,seating,,627,664,159,248,0.911,,,,,"{""area"": 39432}",2025-09-16 14:10:32.023659+00,,
03fe3758-5903-43e0-82dd-3e613fa196a9,9f626cd1-93f0-4c60-8127-38a0a98b4931,seating,,308,665,187,248,0.85,,,,,"{""area"": 46376}",2025-09-16 14:10:32.023659+00,,
2c9be9cf-e2f5-4748-9b4a-4ff1a4355daa,9f626cd1-93f0-4c60-8127-38a0a98b4931,seating,,874,691,134,200,0.773,,,,,"{""area"": 26800, ""raw_label"": ""seating"", ""detected_label"": ""seating"", ""canonical_label"": ""seating""}",2025-09-16 14:10:32.023659+00,,
513f1dc6-b509-43a8-ac77-5b519613004e,9f626cd1-93f0-4c60-8127-38a0a98b4931,seating,,450,220,100,160,0.88,,,,,"{""area"": 16000}",2025-09-16 13:46:17.211567+00,,
fe59309f-55ac-4cce-bf10-5a837d71ca89,9f626cd1-93f0-4c60-8127-38a0a98b4931,tables,,200,350,150,50,0.76,,,,,"{""area"": 7500}",2025-09-16 13:46:17.211567+00,,
f29f808c-6698-48fa-bcb9-2c7912f71028,9f626cd1-93f0-4c60-8127-38a0a98b4931,seating,,100,200,300,150,0.92,,,,,"{""area"": 45000}",2025-09-16 13:46:17.211567+00,,
5e48c00a-c6a0-491b-9901-d1dd269327f4,499746b5-c0e4-4ba0-b3a3-0aa3cc293455,decor_accessories,,929,637,259,294,0.868,scenes/499746b5-c0e4-4ba0-b3a3-0aa3cc293455/masks/0_potted_plant_mask.png,,,,"{""area"": 76146, ""has_mask"": true, ""mask_area"": 666, ""mask_coverage"": 0.0004, ""segmentation_confidence"": 0.8333620429039001}",2025-09-15 13:22:59.982041+00,,
44957122-84da-4b99-85d9-f71a902c50e6,499746b5-c0e4-4ba0-b3a3-0aa3cc293455,decor_accessories,,991,789,161,144,0.379,scenes/499746b5-c0e4-4ba0-b3a3-0aa3cc293455/masks/1_vase_mask.png,,,,"{""area"": 23184, ""has_mask"": true, ""mask_area"": 635, ""mask_coverage"": 0.0003, ""segmentation_confidence"": 0.9796212911605835}",2025-09-15 13:22:59.982041+00,,
110ea7d9-3eba-4d7f-8e47-727c791da41d,499746b5-c0e4-4ba0-b3a3-0aa3cc293455,seating,,580,806,138,107,0.309,scenes/499746b5-c0e4-4ba0-b3a3-0aa3cc293455/masks/2_sofa_mask.png,,,,"{""area"": 14766, ""has_mask"": true, ""mask_area"": 56, ""segmentation_confidence"": 0.6351613998413086}",2025-09-15 13:22:59.982041+00,,
71a180bd-305b-42f7-9727-c4914b0d3943,cc4bd32c-dad1-4bdb-8422-6e2895590fee,seating,,194,777,749,-348,0.88,scenes/cc4bd32c-dad1-4bdb-8422-6e2895590fee/masks/1_sofa_mask.png,,,,"{""area"": 404547, ""has_mask"": true, ""mask_area"": 676, ""raw_label"": ""seating"", ""mask_coverage"": 0.0002, ""detected_label"": ""seating"", ""canonical_label"": ""seating"", ""segmentation_confidence"": 0.9447954297065735}",2025-09-09 12:45:12.787094+00,,
a32aef2c-cc36-4827-9962-cb139e17a8ac,cc4bd32c-dad1-4bdb-8422-6e2895590fee,seating,,1561,835,-1226,-494,0.847,scenes/cc4bd32c-dad1-4bdb-8422-6e2895590fee/masks/2_chair_mask.png,,,,"{""area"": 114235, ""has_mask"": true, ""mask_area"": 1234, ""raw_label"": ""seating"", ""mask_coverage"": 0.0003, ""detected_label"": ""seating"", ""canonical_label"": ""seating"", ""segmentation_confidence"": 0.9588030576705933}",2025-09-09 12:45:12.787094+00,,
b97de644-b6da-4a1e-831c-bea71cb67012,cc4bd32c-dad1-4bdb-8422-6e2895590fee,seating,,2227,797,-2137,-552,0.485,scenes/cc4bd32c-dad1-4bdb-8422-6e2895590fee/masks/6_chair_mask.png,,,,"{""area"": 22050, ""has_mask"": true, ""mask_area"": 118, ""segmentation_confidence"": 0.8445864319801331}",2025-09-09 12:45:12.787094+00,,
